datetime,user,passRaw,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-07-15_18-14,llaplace,1,sub-3000010_all_zoom_s3_r1_e1,3000010,zoom,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000010_arrow-alert-v1-1_psychopy_s1_r1_e1,3000010,psychopy,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000010_arrow-alert-v1-2_psychopy_s2_r1_e1,3000010,psychopy,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000010_arrow-alert-v1-2_psychopy_s3_r1_e1,3000010,psychopy,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_audacity_s1_r1_e1,3000011,audacity,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_audacity_s2_r1_e1,3000011,audacity,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_audacity_s3_r1_e1,3000011,audacity,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_digi_s1_r1_e1,3000011,digi,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_digi_s2_r1_e1,3000011,digi,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_digi_s3_r1_e1,3000011,digi,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_eeg_s1_r1_e1,3000011,eeg,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_eeg_s2_r1_e1,3000011,eeg,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_eeg_s3_r1_e1,3000011,eeg,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_zoom_s1_r1_e1,3000011,zoom,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_zoom_s2_r1_e1,3000011,zoom,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_all_zoom_s3_r1_e1,3000011,zoom,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_arrow-alert-v1-1_psychopy_s1_r1_e1,3000011,psychopy,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_arrow-alert-v1-2_psychopy_s2_r1_e1,3000011,psychopy,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000011_arrow-alert-v1-2_psychopy_s3_r1_e1,3000011,psychopy,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000012_all_audacity_s1_r1_e1,3000012,audacity,1,s1_r1,,
